,open,high,low,close,volume,volatility,rsi,sma_20
2025-07-10,164.32,164.5,161.61,164.1,167704075.0,0.017146460764088777,74.4712,152.0095
2025-07-11,163.715,167.89,163.47,164.92,193633263.0,0.016809759998478543,75.1653,153.114
2025-07-14,165.37,165.49,162.02,164.07,136975754.0,0.016925416023113597,72.951,154.0675
2025-07-15,171.19,172.4,169.195,170.7,230627350.0,0.0172822286905636,78.3167,155.504
2025-07-16,171.06,171.75,168.9,171.37,158831509.0,0.017164681183501354,78.7749,156.838
2025-07-17,172.02,174.16,170.83,173.0,160841119.0,0.01690760560433983,79.8884,158.282
2025-07-18,173.64,174.25,171.26,172.41,146456416.0,0.01714486337121888,78.2874,159.6285
2025-07-21,172.75,173.38,171.0,171.38,123126136.0,0.01686340622644869,75.445,161.005
2025-07-22,171.34,171.39,164.58,167.03,193114327.0,0.018492173532217916,64.7522,162.148
2025-07-23,169.53,171.26,167.97,170.78,154082197.0,0.018328843646718593,68.8508,163.292
2025-07-24,172.44,173.83,171.3,173.74,128984628.0,0.01647149685785728,71.6527,164.2635
2025-07-25,173.61,174.72,172.96,173.5,122316792.0,0.01655380630155807,71.0943,165.1875
